symbol,sector,setup,entry_date,exit_date,entry_price,exit_price,qty,gross_pnl,costs,net_pnl,r_multiple,bars_held,exit_reason,mae_r,mfe_r,regime_at_entry,entry_rank,entry_score,f_ema_fast,f_ema_slow,f_ema_pull,f_ema_slow_slope,f_atr,f_atr_pct,f_adx,f_rsi_fast,f_rsi_14,f_roc_21,f_roc_63,f_roc_126,f_mom,f_hh_52w,f_pct_below_52w,f_donchian_high,f_structure_low,f_vol_avg,f_vol_ratio,f_turnover_med,f_dist_ema_atr,f_rs_index,f_gap,f_close
POWERGRID,Power,pullback,2016-01-07,2016-01-08,174.87246421976897,162.20319700768636,96,-1216.2496523599311,136.70120916437043,-1293.0862634224102,-1.0797841892847848,1,stop_initial,-0.49172555043049854,0.0,risk_on,12,0.4381590272625128,166.502311262857,138.18336542422873,173.60446375230933,0.06506161878953409,8.176529386608754,0.047043582564799055,30.981760373815103,53.77191688066828,51.92870499643823,0.0088267642095059,0.1967482145301045,0.8487962126126207,1.7762852082317848,185.57627820748655,0.06341725203777648,185.57627820748655,166.64667183242403,76790465.1714805,1.102950776615097,13169763325.139801,0.02483655818483598,0.12064966155646006,-0.008291239590384136,173.80754060016986
BAJAJHLDNG,Financials,pullback,2016-01-06,2016-01-11,3532.2349849231286,3206.956945837044,3,-975.8341172582545,94.27980029407877,-1032.3264096824344,-1.0705723926305892,3,stop_initial,-0.9487078500074121,0.2761875156383594,risk_on,12,0.45461338894688297,3167.140856157293,2821.6524198117245,3397.7391121695846,0.04974550749102269,190.05483027700765,0.0537342996592734,51.629542284299724,55.11719442391406,62.110606591426595,0.13477232633333958,0.3419438116150286,0.7560282633884863,1.6613863536780844,3958.495445306103,0.10649462529236453,3958.495445306103,3235.925116192779,2673987.3801023173,1.1910968610026815,9407129857.16442,0.7324088725565697,0.24416504095673752,-0.004327279090940439,3536.936956136698
MOTHERSON,Auto,pullback,2016-01-07,2016-01-14,3679.603567318292,3456.0265046400345,5,-1117.8853133912867,148.2848796787071,-1200.5634552436431,-1.0942821335033697,5,stop_initial,-0.9972517741505288,0.4668574682011786,risk_on,20,0.09780443356939952,3437.313954665829,3124.6691689452628,3663.249106649341,0.04461921315431483,143.34307747530303,0.038665643092766225,39.74011022143842,40.25188785485657,57.30357452421797,0.10253468339816663,0.2596276615719464,0.4310778123453691,1.4865177526474866,3995.345187732823,0.07210853669302253,3995.345187732823,3559.1094004971806,312294.61393749446,0.9343387854453482,1059580543.4289281,0.30693903596523264,0.17953074463705243,0.0026068711403248734,3707.2466926619
DRREDDY,Pharma,pullback,2016-01-06,2016-01-19,4119.5333601311695,3769.2831295111064,3,-1050.7506918601894,106.33018423837474,-1113.0105070742186,-1.0731277468489548,9,stop_initial,-0.9272817816101062,0.5102886099762282,risk_on,18,0.2588139963315949,3688.6068269322263,3212.1673995110145,3985.6617633884766,0.06050503827687859,227.1894277077709,0.055325152607052154,51.21735494834508,47.83343075033272,58.86777742659285,0.17731986389064924,0.31599524964392556,0.6788974235265799,1.5309178303972875,4458.416643739073,0.07894652443076144,4458.416643739073,3915.5639465926383,407343.2916176366,1.2746965614334465,1466048676.3474057,0.5316197284430472,0.22010718295395604,-0.006617304384047729,4106.440145251613
SWIGGY,Consumer,pullback,2016-01-06,2016-01-29,3239.422109529895,3063.185966600661,4,-704.9445717169365,111.6969643278313,-770.4348372717907,-0.6427961880663111,16,stop_trail,-0.862980835674427,0.2632926195091713,risk_on,9,0.7269266291265275,2983.521991132973,2509.511793789986,3182.1577187696603,0.07197156968452068,197.17287472898155,0.06157585064289577,24.594184242841994,53.35727180664306,53.99550634071836,0.0606545721448748,0.3494023201664722,0.8225063079513919,2.13913223752731,3555.4215852668226,0.09937158789844758,3555.4215852668226,3025.974570411732,1473692.9179703556,0.5034291049331954,4744886424.943569,0.10121056432439018,0.2510800962050008,-0.007402380934518504,3202.113696690443
GAIL,Energy,pullback,2016-01-07,2016-01-29,332.2011053708221,315.90595707364594,57,-928.8234529390425,152.68520871815286,-1013.9854117017894,-0.8431277292655436,15,stop_trail_gap,-0.9750036428980141,0.8840119997972631,risk_on,10,0.6064305812512155,313.27795044753185,262.1198293452517,330.24831678051464,0.06925838503294268,13.800609666625352,0.041516829076811146,32.92905187672364,59.411076923570526,53.82090755922133,-0.017734118962380196,0.310151502991842,0.8085041306730067,1.7491317688033352,352.2665861759004,0.056368030899959454,352.2665861759004,315.7207726078085,7395592.533639607,1.0177249118487477,2480322953.3309913,0.15663768724848975,0.22684188753269452,-0.004751921055730413,332.410012361314
DMART,Consumer,pullback,2016-01-12,2016-01-29,4402.1479642447775,4338.602741375416,5,-317.72611434680584,171.88426933340946,-413.49346884295704,-0.35551121898224974,12,stop_trail,-0.5827833195169689,0.6405001111165044,risk_on,13,0.2005606835793978,4184.711877674181,3598.6570384214924,4399.246736251525,0.05949558506577746,151.5618913159885,0.03424354969892397,43.73868381892494,51.95740812450705,56.82631469113278,0.046942736581016886,0.2165726402120629,0.47738622811559983,1.5742281095510717,4647.733582039569,0.047708269009360316,4647.733582039569,4282.703154671545,2279666.045453417,0.9950984172670876,10001320911.07441,0.17650559477704297,0.16627401409064269,0.0005995286866102845,4425.9982580237875
ZYDUSLIFE,Pharma,pullback,2016-01-12,2016-01-29,381.5074151921013,378.7292602621362,31,-86.12280282891714,105.9130848476848,-149.8621506534949,-0.1670109418323145,12,stop_trail,-0.5003708165636359,0.8997089326392015,risk_on,17,0.06865098533028131,355.97509784866685,298.2126164620267,376.397732348771,0.07114799019389584,18.99235031261558,0.04973401818658913,29.516720577908853,65.97369318891799,56.57583365471264,0.030631753664082995,0.24788739371492308,0.6834409955768381,1.293361672923974,413.8901590260751,0.07734346315256291,413.8901590260751,365.0722861486796,12756621.614373839,0.7556732438387223,4237480734.5629396,0.28857557507360637,0.1962940737737815,0.009320120787492892,381.87846076223343
BERGEPAINT,Consumer,pullback,2016-01-18,2016-01-29,4003.1651928087467,3853.7285961316093,3,-448.3097900314124,105.95140742699604,-511.435723821054,-0.5386404145972105,8,stop_trail,-0.7624988883519557,0.3343760740977627,risk_on,17,0.11133916923540288,3886.65415303693,3430.945880052128,3984.6432722393033,0.04294357507723112,178.81952946798484,0.04465888662561375,37.46893626825424,76.0101651631839,51.819312622562265,-0.0232983095203958,0.22353658063270387,0.40639770511597106,1.39790774328719,4355.616915315742,0.08069974539936142,4355.616915315742,3710.9747264286248,781872.9234819461,2.109837400690853,2654641046.9609857,0.10891688962190808,0.16955645919792817,-0.005957971476807988,4004.1197391926094
INDHOTEL,Consumer,pullback,2016-02-02,2016-02-10,431.28211779341143,393.445596427929,29,-1097.2591195989908,107.2089922152511,-1159.8679065424158,-1.070432458124046,6,stop_initial,-0.7362818782359093,0.8708558664315386,neutral,3,1.3636456000620139,395.3200324093638,324.16511174109297,416.8671855065651,0.07844734342569204,24.56460077863635,0.05768455950803415,33.117157060358906,75.26179026784116,56.17059003382561,-0.0323709354340429,0.32343561829103074,0.8069660165933534,1.9981880858267689,463.4370628703229,0.08111879864026117,463.4370628703229,390.9829592134975,5648370.743906718,1.8369515357282504,2248317220.2453136,0.36542094289408433,0.3242677384681343,-0.005461636176524842,425.84360508491113
